ticket_id,category,priority,channel,created_at,resolved_at,agent,status,satisfaction
T0001,Billing Issue,Low,Email,2023-08-21 03:01:00,2023-08-25 02:01:00,Agent_5,Resolved,2.0
T0002,Account Setup,Low,Phone,2023-07-25 01:01:00,2023-07-25 13:01:00,Agent_5,Resolved,5.0
T0003,Shipping,Medium,Web Form,2023-07-24 07:28:00,2023-07-27 11:28:00,Agent_3,Resolved,1.0
T0004,Bug Report,Low,Chat,2023-07-06 04:13:00,2023-07-10 06:13:00,Agent_3,Resolved,1.0
T0005,Password Reset,Critical,Email,2023-08-17 08:51:00,2023-08-17 14:51:00,Agent_5,Resolved,5.0
T0006,Billing Issue,Low,Email,2023-07-08 20:39:00,2023-07-13 14:39:00,Agent_2,Resolved,5.0
T0007,Feature Request,Critical,Chat,2023-07-08 02:54:00,2023-07-09 08:54:00,Agent_2,Resolved,4.0
T0008,Account Setup,Medium,Phone,2023-07-18 11:13:00,2023-07-22 01:13:00,Agent_2,Resolved,1.0
T0009,Billing Issue,High,Email,2023-07-30 12:17:00,2023-08-04 11:17:00,Agent_2,Resolved,5.0
T0010,Billing Issue,Critical,Web Form,2023-06-05 10:25:00,,Agent_4,Escalated,
T0011,Feature Request,Critical,Web Form,2023-06-19 08:08:00,2023-06-20 16:08:00,Agent_3,Resolved,5.0
T0012,Shipping,Low,Phone,2023-06-29 04:32:00,,Agent_2,Open,
T0013,Bug Report,High,Email,2023-08-27 13:38:00,2023-08-27 22:38:00,Agent_1,Resolved,5.0
T0014,Password Reset,High,Web Form,2023-08-27 17:48:00,2023-08-29 04:48:00,Agent_2,Resolved,3.0
T0015,Shipping,Medium,Email,2023-07-29 00:46:00,2023-08-02 17:46:00,Agent_3,Resolved,5.0
T0016,Account Setup,Low,Chat,2023-08-21 16:38:00,2023-08-22 18:38:00,Agent_4,Resolved,2.0
T0017,Billing Issue,Low,Phone,2023-06-03 03:59:00,2023-06-05 02:59:00,Agent_5,Resolved,3.0
T0018,Shipping,Medium,Phone,2023-06-11 02:46:00,2023-06-13 17:46:00,Agent_4,Resolved,5.0
T0019,Billing Issue,Medium,Chat,2023-08-10 05:16:00,2023-08-13 01:16:00,Agent_4,Resolved,4.0
T0020,Password Reset,Medium,Phone,2023-08-25 20:23:00,2023-08-28 05:23:00,Agent_1,Resolved,4.0
T0021,Password Reset,Low,Email,2023-07-14 00:37:00,2023-07-16 23:37:00,Agent_2,Resolved,2.0
T0022,Feature Request,Critical,Phone,2023-06-09 01:55:00,,Agent_5,Open,
T0023,Billing Issue,Critical,Web Form,2023-06-17 23:59:00,2023-06-22 16:59:00,Agent_2,Resolved,4.0
T0024,Bug Report,Low,Email,2023-06-13 03:42:00,2023-06-15 11:42:00,Agent_1,Resolved,4.0
T0025,Billing Issue,Medium,Web Form,2023-07-22 23:21:00,2023-07-27 06:21:00,Agent_2,Resolved,2.0
T0026,Bug Report,Low,Email,2023-07-25 05:17:00,2023-07-27 17:17:00,Agent_5,Resolved,1.0
T0027,Bug Report,Critical,Web Form,2023-06-02 02:59:00,2023-06-06 03:59:00,Agent_2,Resolved,2.0
T0028,Feature Request,Critical,Chat,2023-07-22 01:10:00,,Agent_4,Escalated,
T0029,Billing Issue,Medium,Chat,2023-08-29 23:50:00,2023-09-01 23:50:00,Agent_2,Resolved,4.0
T0030,Password Reset,Low,Web Form,2023-06-08 18:47:00,,Agent_5,Escalated,
T0031,Password Reset,Low,Phone,2023-08-07 05:03:00,,Agent_4,Open,
T0032,Password Reset,Critical,Chat,2023-06-16 18:15:00,2023-06-19 21:15:00,Agent_3,Resolved,5.0
T0033,Billing Issue,High,Web Form,2023-06-27 21:45:00,2023-06-29 14:45:00,Agent_3,Resolved,4.0
T0034,Password Reset,Medium,Chat,2023-06-10 00:29:00,2023-06-13 08:29:00,Agent_2,Resolved,1.0
T0035,Bug Report,High,Email,2023-07-15 02:56:00,2023-07-16 10:56:00,Agent_5,Resolved,2.0
